,game_date,winrate
0,2018-09-15,0.40595872477810324
1,2018-09-16,0.4699333890288966
2,2018-09-17,0.45263830401783767
3,2018-09-18,0.4257334186321218
4,2018-09-19,0.39164133869662654
5,2018-09-20,0.4410444089424388
6,2018-09-21,0.3561066955679296
7,2018-09-22,0.39871399634292215
8,2018-09-23,0.5255549965987381
9,2018-09-24,0.3514794270771518
10,2018-09-25,0.4660011989221047
11,2018-09-26,0.39366449992547925
12,2018-09-27,0.38248382443619994
13,2018-09-28,0.4117599699120973
14,2018-09-29,0.44036377830067785
15,2018-09-30,0.4777591810336442
16,2018-10-01,0.42269631411368974
17,2018-10-02,0.3978208618549899
18,2018-10-03,0.47100733310202003
19,2018-10-04,0.4756056266518337
20,2018-10-05,0.445245589001528
21,2018-10-06,0.39511605221491947
22,2018-10-07,0.44723593129587674
23,2018-10-08,0.42813809803773334
24,2018-10-09,0.438637679301028
25,2018-10-10,0.43920459233521314
26,2018-10-11,0.45317831064180064
27,2018-10-12,0.4176138994403743
28,2018-10-13,0.4329237376460936
29,2018-10-14,0.40612997849718646
30,2018-10-15,0.40456197126635485
31,2018-10-16,0.4499132787981971
32,2018-10-17,0.3816631602212621
33,2018-10-18,0.4511231705861835
34,2018-10-19,0.39714682636006154
35,2018-10-20,0.4261530569767738
36,2018-10-21,0.42477985505202104
37,2018-10-22,0.4414639754499297
38,2018-10-23,0.39442632857518084
39,2018-10-24,0.36913528562569536
40,2018-10-25,0.4328585936378628
41,2018-10-26,0.4323323803148781
42,2018-10-27,0.4494590965887446
43,2018-10-28,0.4325732158280406
44,2018-10-29,0.395526211760547
45,2018-10-30,0.4607784663989291
46,2018-10-31,0.44228584979926394
47,2018-11-01,0.35080824866533694
48,2018-11-02,0.49885838639460994
49,2018-11-03,0.48279190350626644
50,2018-11-04,0.42520481433250146
51,2018-11-05,0.4247809019448993
52,2018-11-06,0.47616729011075765
53,2018-11-07,0.44161574645514007
54,2018-11-08,0.3627005489813122
55,2018-11-09,0.4643764569943547
56,2018-11-10,0.45596144448517895
57,2018-11-11,0.43604652149190753
58,2018-11-12,0.4492658090827677
59,2018-11-13,0.49447169016391407
60,2018-11-14,0.40983542766032494
61,2018-11-15,0.47487860975211077
62,2018-11-16,0.5380543570687881
63,2018-11-17,0.42965080703020725
64,2018-11-18,0.3619978739698711
65,2018-11-19,0.3694322421428424
66,2018-11-20,0.5108767390976285
67,2018-11-21,0.35966312901768854
68,2018-11-22,0.44692421218387696
69,2018-11-23,0.4443506467932209
